t	u1	u2
2.879999999999999e-07	0.080000288	0.080000288
2.889999999999999e-07	0.080000288	0.080000288
2.8999999999999987e-07	0.080000288	2.879999999999999e-07
2.909999999999999e-07	0.080000288	0.080000288
2.9199999999999986e-07	0.080000288	2.879999999999999e-07
2.929999999999999e-07	0.080000288	0.080000288
2.9399999999999985e-07	0.080000288	2.879999999999999e-07
2.949999999999999e-07	0.080000288	2.879999999999999e-07
2.959999999999999e-07	0.080000288	2.879999999999999e-07
2.9699999999999987e-07	0.080000288	0.080000288
2.979999999999999e-07	0.080000288	2.879999999999999e-07
2.9899999999999986e-07	0.080000288	0.080000288
2.999999999999999e-07	0.160000288	2.879999999999999e-07
3.009999999999999e-07	0.080000288	2.879999999999999e-07
3.0199999999999987e-07	0.160000288	2.879999999999999e-07
3.029999999999999e-07	0.080000288	0.080000288
3.0399999999999986e-07	0.080000288	2.879999999999999e-07
3.049999999999999e-07	0.080000288	2.879999999999999e-07
3.059999999999999e-07	0.160000288	2.879999999999999e-07
3.069999999999999e-07	0.080000288	2.879999999999999e-07
3.079999999999999e-07	0.160000288	2.879999999999999e-07
3.0899999999999987e-07	0.080000288	0.080000288
3.099999999999999e-07	0.160000288	0.080000288
3.1099999999999986e-07	0.160000288	2.879999999999999e-07
3.119999999999999e-07	0.080000288	2.879999999999999e-07
3.129999999999999e-07	0.080000288	2.879999999999999e-07
3.139999999999999e-07	0.160000288	2.879999999999999e-07
3.149999999999999e-07	0.080000288	2.879999999999999e-07
3.1599999999999986e-07	0.080000288	2.879999999999999e-07
3.169999999999999e-07	0.080000288	2.879999999999999e-07
3.1799999999999986e-07	0.160000288	2.879999999999999e-07
3.189999999999999e-07	0.080000288	2.879999999999999e-07
3.199999999999999e-07	0.160000288	2.879999999999999e-07
3.2099999999999987e-07	0.080000288	2.879999999999999e-07
3.219999999999999e-07	0.080000288	0.080000288
3.2299999999999986e-07	0.080000288	2.879999999999999e-07
3.239999999999999e-07	0.160000288	2.879999999999999e-07
3.2499999999999985e-07	0.080000288	0.080000288
3.259999999999999e-07	0.080000288	2.879999999999999e-07
3.269999999999999e-07	0.080000288	0.080000288
3.2799999999999987e-07	0.160000288	0.080000288
3.289999999999999e-07	0.080000288	2.879999999999999e-07
3.299999999999999e-07	0.160000288	0.080000288
3.309999999999999e-07	0.080000288	0.080000288
3.319999999999999e-07	0.160000288	2.879999999999999e-07
3.3299999999999987e-07	0.080000288	2.879999999999999e-07
3.339999999999999e-07	0.080000288	2.879999999999999e-07
3.3499999999999986e-07	0.080000288	2.879999999999999e-07
3.359999999999999e-07	0.080000288	0.080000288
3.369999999999999e-07	0.080000288	2.879999999999999e-07
3.379999999999999e-07	0.080000288	0.080000288
3.389999999999999e-07	0.080000288	0.080000288
3.3999999999999987e-07	0.080000288	2.879999999999999e-07
3.409999999999999e-07	0.080000288	2.879999999999999e-07
3.4199999999999986e-07	0.080000288	2.879999999999999e-07
3.429999999999999e-07	0.080000288	2.879999999999999e-07
3.439999999999999e-07	0.160000288	2.879999999999999e-07
3.4499999999999987e-07	0.080000288	2.879999999999999e-07
3.459999999999999e-07	0.160000288	2.879999999999999e-07
3.4699999999999986e-07	0.160000288	2.879999999999999e-07
3.479999999999999e-07	0.160000288	0.080000288
3.4899999999999986e-07	0.080000288	2.879999999999999e-07
3.499999999999999e-07	0.080000288	2.879999999999999e-07
3.509999999999999e-07	0.080000288	2.879999999999999e-07
3.5199999999999987e-07	0.080000288	2.879999999999999e-07
3.529999999999999e-07	0.080000288	2.879999999999999e-07
3.539999999999999e-07	0.080000288	2.879999999999999e-07
3.549999999999999e-07	0.080000288	2.879999999999999e-07
3.5599999999999985e-07	0.080000288	2.879999999999999e-07
3.569999999999999e-07	0.080000288	0.080000288
3.579999999999999e-07	0.080000288	0.080000288
3.5899999999999987e-07	0.080000288	2.879999999999999e-07
3.599999999999999e-07	0.160000288	2.879999999999999e-07
3.609999999999999e-07	0.080000288	2.879999999999999e-07
3.619999999999999e-07	0.160000288	0.080000288
3.629999999999999e-07	0.080000288	0.080000288
3.6399999999999987e-07	0.160000288	2.879999999999999e-07
3.649999999999999e-07	0.160000288	2.879999999999999e-07
3.6599999999999986e-07	0.160000288	0.080000288
3.669999999999999e-07	0.080000288	2.879999999999999e-07
3.679999999999999e-07	0.080000288	2.879999999999999e-07
3.689999999999999e-07	0.080000288	2.879999999999999e-07
3.699999999999999e-07	0.080000288	2.879999999999999e-07
3.7099999999999987e-07	2.879999999999999e-07	2.879999999999999e-07
3.719999999999999e-07	0.080000288	2.879999999999999e-07
3.7299999999999986e-07	0.080000288	0.080000288
3.739999999999999e-07	0.160000288	2.879999999999999e-07
3.749999999999999e-07	0.160000288	2.879999999999999e-07
3.7599999999999987e-07	0.080000288	0.080000288
3.769999999999999e-07	0.080000288	2.879999999999999e-07
3.779999999999999e-07	0.080000288	0.080000288
3.789999999999999e-07	0.080000288	2.879999999999999e-07
3.7999999999999986e-07	0.080000288	2.879999999999999e-07
3.809999999999999e-07	0.080000288	2.879999999999999e-07
3.819999999999999e-07	0.080000288	2.879999999999999e-07
3.8299999999999987e-07	0.080000288	2.879999999999999e-07
3.839999999999999e-07	0.080000288	2.879999999999999e-07
3.849999999999999e-07	0.080000288	2.879999999999999e-07
3.859999999999999e-07	0.080000288	0.080000288
3.8699999999999985e-07	0.080000288	0.080000288
3.879999999999999e-07	0.160000288	2.879999999999999e-07
3.889999999999999e-07	0.080000288	0.080000288
3.8999999999999987e-07	0.080000288	2.879999999999999e-07
3.909999999999999e-07	0.080000288	2.879999999999999e-07
3.919999999999999e-07	0.080000288	2.879999999999999e-07
3.929999999999999e-07	0.080000288	2.879999999999999e-07
3.939999999999999e-07	0.080000288	2.879999999999999e-07
3.9499999999999987e-07	0.080000288	2.879999999999999e-07
3.959999999999999e-07	0.080000288	2.879999999999999e-07
3.9699999999999986e-07	0.080000288	0.080000288
3.979999999999999e-07	0.080000288	0.080000288
3.989999999999999e-07	0.080000288	2.879999999999999e-07
3.999999999999999e-07	0.160000288	2.879999999999999e-07
4.009999999999999e-07	0.080000288	2.879999999999999e-07
4.0199999999999987e-07	0.160000288	0.080000288
4.029999999999999e-07	0.080000288	2.879999999999999e-07
4.0399999999999986e-07	0.080000288	2.879999999999999e-07
4.049999999999999e-07	0.080000288	2.879999999999999e-07
4.059999999999999e-07	0.080000288	2.879999999999999e-07
