t	u1	u2
0.0	-1.920005252	0.079994748
9.999999999996516e-10	-1.920005252	-5.252000000000001e-06
1.9999999999993032e-09	-1.920005252	0.079994748
2.999999999999802e-09	-1.920005252	0.079994748
3.9999999999994535e-09	-1.920005252	0.079994748
4.999999999999952e-09	-1.920005252	0.079994748
5.999999999999604e-09	-1.920005252	0.079994748
6.999999999999255e-09	-1.920005252	0.079994748
7.999999999999754e-09	-1.920005252	0.079994748
8.999999999999406e-09	-1.920005252	0.079994748
9.999999999999904e-09	-1.920005252	0.079994748
1.0999999999999556e-08	-1.920005252	-5.252000000000001e-06
1.1999999999999207e-08	-1.920005252	0.079994748
1.2999999999999706e-08	-1.920005252	-5.252000000000001e-06
1.3999999999999358e-08	-1.920005252	0.079994748
1.4999999999999856e-08	-1.920005252	-5.252000000000001e-06
1.5999999999999508e-08	-1.920005252	0.079994748
1.7000000000000007e-08	-1.920005252	-5.252000000000001e-06
1.7999999999999658e-08	-1.920005252	0.079994748
1.899999999999931e-08	-1.920005252	0.079994748
1.999999999999981e-08	-1.920005252	0.079994748
2.099999999999946e-08	-1.920005252	0.079994748
2.199999999999996e-08	-1.920005252	0.079994748
2.299999999999961e-08	-1.920005252	0.079994748
2.3999999999999262e-08	-1.920005252	0.079994748
2.499999999999976e-08	-1.920005252	0.079994748
2.5999999999999412e-08	-1.920005252	0.079994748
2.699999999999991e-08	-1.920005252	0.079994748
2.7999999999999563e-08	-1.920005252	0.079994748
2.8999999999999214e-08	-1.920005252	0.079994748
2.999999999999971e-08	-1.920005252	0.079994748
3.0999999999999364e-08	-1.920005252	0.079994748
3.199999999999986e-08	-1.920005252	0.079994748
3.2999999999999515e-08	-2.000005252	0.079994748
3.400000000000001e-08	-1.920005252	0.079994748
3.4999999999999665e-08	-1.920005252	0.079994748
3.5999999999999317e-08	-1.920005252	0.079994748
3.6999999999999815e-08	-1.920005252	-5.252000000000001e-06
3.799999999999947e-08	-1.920005252	0.079994748
3.8999999999999965e-08	-1.920005252	0.079994748
3.999999999999962e-08	-1.920005252	0.079994748
4.099999999999927e-08	-1.920005252	0.079994748
4.199999999999977e-08	-1.920005252	0.079994748
4.299999999999942e-08	-1.920005252	0.079994748
4.399999999999992e-08	-1.920005252	0.079994748
4.499999999999957e-08	-1.920005252	0.079994748
4.599999999999922e-08	-1.920005252	0.079994748
4.699999999999972e-08	-1.920005252	0.079994748
4.799999999999937e-08	-1.920005252	0.159994748
4.899999999999987e-08	-1.920005252	-5.252000000000001e-06
4.999999999999952e-08	-1.920005252	0.079994748
5.100000000000002e-08	-2.000005252	-5.252000000000001e-06
5.199999999999967e-08	-1.920005252	0.079994748
5.299999999999932e-08	-1.920005252	0.079994748
5.399999999999982e-08	-1.920005252	0.079994748
5.4999999999999473e-08	-1.920005252	0.079994748
5.599999999999997e-08	-1.920005252	0.079994748
5.6999999999999624e-08	-1.920005252	0.079994748
5.7999999999999275e-08	-1.920005252	0.079994748
5.8999999999999774e-08	-1.920005252	0.079994748
5.999999999999943e-08	-1.920005252	0.079994748
6.099999999999992e-08	-1.920005252	0.079994748
6.199999999999958e-08	-1.840005252	0.079994748
6.299999999999923e-08	-1.920005252	0.079994748
6.399999999999973e-08	-1.920005252	0.159994748
6.499999999999938e-08	-1.920005252	0.079994748
6.599999999999988e-08	-1.920005252	0.079994748
6.699999999999953e-08	-1.920005252	0.079994748
6.800000000000003e-08	-1.920005252	0.079994748
6.899999999999968e-08	-1.920005252	0.079994748
6.999999999999933e-08	-1.920005252	0.079994748
7.099999999999983e-08	-1.920005252	0.079994748
7.199999999999948e-08	-1.920005252	0.079994748
7.299999999999998e-08	-1.920005252	0.079994748
7.399999999999963e-08	-1.920005252	0.159994748
7.499999999999928e-08	-1.920005252	0.079994748
7.599999999999978e-08	-1.920005252	0.079994748
7.699999999999943e-08	-2.000005252	0.079994748
7.799999999999993e-08	-1.920005252	0.159994748
7.899999999999958e-08	-1.920005252	0.079994748
7.999999999999923e-08	-1.920005252	0.079994748
8.099999999999973e-08	-1.920005252	0.079994748
8.199999999999938e-08	-1.920005252	0.079994748
8.299999999999988e-08	-1.920005252	0.079994748
8.399999999999953e-08	-1.920005252	0.079994748
8.500000000000003e-08	-1.920005252	0.079994748
8.599999999999968e-08	-1.920005252	0.079994748
8.699999999999934e-08	-1.920005252	0.079994748
8.799999999999984e-08	-1.920005252	0.079994748
8.899999999999949e-08	-1.920005252	-5.252000000000001e-06
8.999999999999999e-08	-1.920005252	0.079994748
9.099999999999964e-08	-1.920005252	0.079994748
9.199999999999929e-08	-1.920005252	0.079994748
9.299999999999979e-08	-2.000005252	0.079994748
9.399999999999944e-08	-1.920005252	0.079994748
9.499999999999994e-08	-1.920005252	0.079994748
9.599999999999959e-08	-1.920005252	0.079994748
9.699999999999924e-08	-1.920005252	0.079994748
9.799999999999974e-08	-1.920005252	0.079994748
9.899999999999939e-08	-1.920005252	0.079994748
9.999999999999989e-08	-1.920005252	0.079994748
1.0099999999999954e-07	-1.920005252	0.079994748
1.0200000000000004e-07	-1.920005252	0.079994748
1.0299999999999969e-07	-1.920005252	-5.252000000000001e-06
1.0399999999999934e-07	-1.920005252	0.079994748
1.0499999999999984e-07	-1.920005252	0.079994748
1.0599999999999949e-07	-1.920005252	0.079994748
1.0699999999999999e-07	-1.920005252	0.079994748
1.0799999999999964e-07	-1.920005252	0.079994748
1.089999999999993e-07	-2.000005252	0.079994748
1.099999999999998e-07	-1.920005252	0.079994748
1.1099999999999945e-07	-1.920005252	-5.252000000000001e-06
1.1199999999999994e-07	-1.920005252	0.159994748
1.129999999999996e-07	-1.920005252	0.079994748
1.1399999999999925e-07	-1.920005252	0.079994748
1.1499999999999975e-07	-1.920005252	0.079994748
1.159999999999994e-07	-1.920005252	0.159994748
1.169999999999999e-07	-1.920005252	0.079994748
1.1799999999999955e-07	-1.920005252	0.079994748
1.1900000000000005e-07	-1.920005252	0.079994748
1.199999999999997e-07	-1.920005252	0.079994748
1.2099999999999935e-07	-1.920005252	-5.252000000000001e-06
1.2199999999999985e-07	-1.920005252	0.079994748
1.229999999999995e-07	-1.920005252	0.079994748
1.24e-07	-1.920005252	0.079994748
1.2499999999999965e-07	-1.920005252	0.079994748
1.259999999999993e-07	-1.920005252	0.159994748
1.269999999999998e-07	-1.920005252	0.079994748
1.2799999999999945e-07	-1.920005252	0.079994748
1.2899999999999995e-07	-2.000005252	0.079994748
1.299999999999996e-07	-1.920005252	0.079994748
1.3099999999999925e-07	-2.000005252	-5.252000000000001e-06
1.3199999999999975e-07	-1.920005252	0.079994748
1.329999999999994e-07	-1.920005252	0.079994748
1.339999999999999e-07	-1.920005252	0.079994748
1.3499999999999955e-07	-1.920005252	0.079994748
1.359999999999992e-07	-1.920005252	0.079994748
1.369999999999997e-07	-1.920005252	0.079994748
1.3799999999999936e-07	-1.840005252	0.079994748
1.3899999999999986e-07	-2.000005252	0.079994748
1.399999999999995e-07	-1.920005252	0.079994748
1.41e-07	-1.920005252	0.079994748
1.4199999999999966e-07	-1.920005252	0.079994748
1.429999999999993e-07	-2.000005252	0.079994748
1.439999999999998e-07	-1.920005252	0.079994748
1.4499999999999946e-07	-1.920005252	0.079994748
1.4599999999999996e-07	-1.920005252	0.079994748
1.469999999999996e-07	-2.000005252	0.079994748
1.4799999999999926e-07	-1.920005252	0.079994748
1.4899999999999976e-07	-2.000005252	0.079994748
1.499999999999994e-07	-1.920005252	0.079994748
1.509999999999999e-07	-2.000005252	0.079994748
1.5199999999999956e-07	-1.920005252	0.079994748
1.529999999999992e-07	-1.920005252	-5.252000000000001e-06
1.539999999999997e-07	-1.920005252	0.079994748
1.5499999999999936e-07	-1.920005252	0.079994748
1.5599999999999986e-07	-1.920005252	0.079994748
1.5699999999999951e-07	-1.920005252	0.079994748
1.58e-07	-1.920005252	0.159994748
1.5899999999999966e-07	-2.000005252	0.079994748
1.5999999999999932e-07	-1.920005252	0.079994748
1.6099999999999981e-07	-1.920005252	-5.252000000000001e-06
1.6199999999999947e-07	-1.920005252	0.079994748
1.6299999999999996e-07	-1.920005252	0.079994748
1.6399999999999962e-07	-1.920005252	0.079994748
1.6499999999999927e-07	-1.920005252	0.079994748
1.6599999999999977e-07	-1.920005252	0.079994748
1.6699999999999942e-07	-1.920005252	0.079994748
1.6799999999999992e-07	-1.920005252	0.079994748
1.6899999999999957e-07	-1.920005252	0.079994748
1.6999999999999922e-07	-1.920005252	0.079994748
1.7099999999999972e-07	-1.920005252	0.079994748
1.7199999999999937e-07	-1.920005252	0.079994748
1.7299999999999987e-07	-1.920005252	-5.252000000000001e-06
1.7399999999999952e-07	-1.920005252	0.079994748
1.7500000000000002e-07	-2.000005252	0.079994748
1.7599999999999967e-07	-1.840005252	0.079994748
1.7699999999999932e-07	-1.920005252	-5.252000000000001e-06
1.7799999999999982e-07	-1.920005252	0.159994748
1.7899999999999947e-07	-1.920005252	-5.252000000000001e-06
1.7999999999999997e-07	-1.920005252	0.079994748
1.8099999999999962e-07	-2.000005252	0.079994748
1.8199999999999927e-07	-1.920005252	0.079994748
1.8299999999999977e-07	-1.920005252	-5.252000000000001e-06
1.8399999999999942e-07	-1.920005252	0.079994748
1.8499999999999992e-07	-1.920005252	0.079994748
1.8599999999999957e-07	-1.920005252	0.079994748
1.8699999999999923e-07	-1.920005252	-5.252000000000001e-06
1.8799999999999972e-07	-1.920005252	0.079994748
1.8899999999999938e-07	-2.000005252	0.079994748
1.8999999999999987e-07	-1.920005252	0.079994748
1.9099999999999953e-07	-1.920005252	0.079994748
1.9200000000000003e-07	-1.920005252	0.079994748
1.9299999999999968e-07	-1.920005252	0.079994748
1.9399999999999933e-07	-1.920005252	0.079994748
1.9499999999999983e-07	-1.920005252	-5.252000000000001e-06
1.9599999999999948e-07	-1.840005252	0.159994748
1.9699999999999998e-07	-1.920005252	0.079994748
1.9799999999999963e-07	-1.840005252	0.079994748
1.9899999999999928e-07	-1.920005252	0.079994748
1.9999999999999978e-07	-1.920005252	0.079994748
2.0099999999999943e-07	-1.920005252	0.079994748
2.0199999999999993e-07	-1.920005252	0.079994748
2.0299999999999958e-07	-1.920005252	0.079994748
2.0399999999999923e-07	-1.920005252	0.079994748
2.0499999999999973e-07	-1.920005252	0.079994748
2.0599999999999938e-07	-1.920005252	0.079994748
2.0699999999999988e-07	-1.920005252	0.079994748
2.0799999999999953e-07	-1.920005252	0.159994748
2.0900000000000003e-07	-1.920005252	0.079994748
2.0999999999999968e-07	-1.920005252	0.079994748
2.1099999999999934e-07	-1.920005252	0.079994748
2.1199999999999983e-07	-1.920005252	0.079994748
2.1299999999999949e-07	-1.920005252	0.079994748
2.1399999999999998e-07	-1.920005252	0.079994748
2.1499999999999964e-07	-1.920005252	0.079994748
2.159999999999993e-07	-1.920005252	0.159994748
2.1699999999999979e-07	-1.920005252	-5.252000000000001e-06
2.1799999999999944e-07	-1.920005252	0.079994748
2.1899999999999994e-07	-1.920005252	-5.252000000000001e-06
2.199999999999996e-07	-1.920005252	0.079994748
2.2099999999999924e-07	-1.920005252	0.079994748
2.2199999999999974e-07	-1.920005252	0.159994748
2.229999999999994e-07	-1.920005252	0.079994748
2.239999999999999e-07	-1.920005252	0.079994748
2.2499999999999954e-07	-1.920005252	0.079994748
2.2600000000000004e-07	-1.920005252	-5.252000000000001e-06
2.269999999999997e-07	-1.920005252	0.079994748
2.2799999999999934e-07	-1.920005252	0.079994748
2.2899999999999984e-07	-1.920005252	0.079994748
2.299999999999995e-07	-1.920005252	0.079994748
2.31e-07	-1.920005252	-5.252000000000001e-06
2.3199999999999964e-07	-1.920005252	0.079994748
2.329999999999993e-07	-2.000005252	0.079994748
2.339999999999998e-07	-1.920005252	0.079994748
2.3499999999999944e-07	-2.000005252	-5.252000000000001e-06
2.3599999999999994e-07	-1.920005252	0.079994748
2.369999999999996e-07	-2.000005252	0.079994748
2.3799999999999925e-07	-1.920005252	0.079994748
2.3899999999999974e-07	-1.920005252	0.079994748
2.399999999999994e-07	-1.920005252	0.159994748
2.409999999999999e-07	-1.920005252	0.079994748
2.4199999999999955e-07	-1.920005252	0.159994748
2.4300000000000005e-07	-1.920005252	-5.252000000000001e-06
2.439999999999997e-07	-1.920005252	0.079994748
2.4499999999999935e-07	-1.920005252	0.079994748
2.4599999999999985e-07	-1.920005252	0.079994748
2.469999999999995e-07	-2.000005252	0.079994748
2.48e-07	-1.920005252	0.079994748
2.4899999999999965e-07	-1.920005252	0.079994748
2.499999999999993e-07	-1.920005252	0.159994748
2.509999999999998e-07	-1.920005252	0.079994748
2.5199999999999945e-07	-1.920005252	0.159994748
2.5299999999999995e-07	-1.920005252	0.079994748
2.539999999999996e-07	-1.920005252	0.079994748
2.5499999999999925e-07	-1.920005252	-5.252000000000001e-06
2.5599999999999975e-07	-1.920005252	0.079994748
2.569999999999994e-07	-1.920005252	0.079994748
2.579999999999999e-07	-1.920005252	0.079994748
2.5899999999999955e-07	-1.920005252	0.079994748
2.6000000000000005e-07	-1.840005252	0.079994748
2.609999999999997e-07	-2.000005252	0.079994748
2.6199999999999935e-07	-1.920005252	0.079994748
2.6299999999999985e-07	-1.920005252	0.079994748
2.639999999999995e-07	-1.920005252	0.079994748
2.65e-07	-2.000005252	0.079994748
2.6599999999999966e-07	-1.920005252	0.079994748
2.669999999999993e-07	-1.920005252	0.079994748
2.679999999999998e-07	-1.920005252	0.079994748
2.6899999999999946e-07	-2.000005252	0.079994748
2.6999999999999996e-07	-1.920005252	0.079994748
2.709999999999996e-07	-1.920005252	-5.252000000000001e-06
2.7199999999999926e-07	-1.920005252	0.079994748
2.7299999999999976e-07	-1.920005252	-5.252000000000001e-06
2.739999999999994e-07	-1.920005252	0.079994748
2.749999999999999e-07	-1.920005252	0.079994748
2.7599999999999956e-07	-1.920005252	0.079994748
2.7700000000000006e-07	-1.920005252	0.079994748
2.779999999999997e-07	-1.920005252	0.079994748
2.7899999999999936e-07	-1.920005252	0.079994748
2.7999999999999986e-07	-1.920005252	0.079994748
2.809999999999995e-07	-1.920005252	0.079994748
2.82e-07	-1.920005252	0.079994748
2.8299999999999966e-07	-1.920005252	0.079994748
